benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
2mm,LARGE,sequential,2,2497.702,2498.270,2499.215,1.784,1.33,1.00,100.0,PASS
2mm,LARGE,threads_static,2,1323.610,1334.183,1332.631,6.977,2.50,1.89,94.4,PASS
2mm,LARGE,threads_dynamic,2,1320.723,1329.361,1329.652,7.082,2.51,1.89,94.6,PASS
2mm,LARGE,tiled,2,1215.667,1216.242,1216.448,0.614,2.73,2.05,102.7,PASS
2mm,LARGE,blas,2,75.987,76.027,76.048,0.058,43.60,32.87,3287.0,PASS
2mm,LARGE,tasks,2,1162.749,1172.692,1171.182,5.143,2.85,2.15,107.4,PASS
