benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
3mm,EXTRALARGE,sequential,16,58171.914,58307.771,58278.940,62.005,0.74,1.00,100.0,PASS
3mm,EXTRALARGE,threads_static,16,3928.358,3999.281,4021.349,108.500,11.00,14.81,92.6,PASS
3mm,EXTRALARGE,threads_dynamic,16,3909.521,3929.279,3931.108,19.025,11.05,14.88,93.0,PASS
3mm,EXTRALARGE,tiled,16,2723.485,2729.140,2729.181,5.121,15.86,21.36,133.5,PASS
3mm,EXTRALARGE,blas,16,997.443,997.610,997.882,0.472,43.31,58.32,5832.1,PASS
3mm,EXTRALARGE,tasks,16,4034.248,4048.411,4049.212,14.757,10.71,14.42,90.1,PASS
