benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
cholesky,EXTRALARGE,sequential,8,44116.808,44214.681,44214.908,44.073,0.48,1.00,100.0,PASS
cholesky,EXTRALARGE,simd,8,43746.398,43856.081,43846.211,50.280,0.49,1.01,100.8,PASS
cholesky,EXTRALARGE,threads,8,4907.010,4909.862,4911.724,5.055,4.35,8.99,112.4,PASS
cholesky,EXTRALARGE,blas,8,540.718,541.226,541.225,0.339,39.45,81.59,8158.9,PASS
cholesky,EXTRALARGE,tiled,8,56946.697,57109.260,57114.406,96.246,0.37,0.77,77.5,PASS
