benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
3mm,EXTRALARGE,sequential,16,57761.886,58027.494,57986.218,95.917,0.75,1.00,100.0,PASS
3mm,EXTRALARGE,threads_static,16,3886.367,3913.006,3936.917,58.624,11.12,14.86,92.9,PASS
3mm,EXTRALARGE,threads_dynamic,16,3866.577,3924.431,3958.904,101.420,11.17,14.94,93.4,PASS
3mm,EXTRALARGE,tiled,16,2712.306,2714.228,2714.227,1.584,15.93,21.30,133.1,PASS
3mm,EXTRALARGE,blas,16,1007.236,1008.624,1008.710,0.897,42.89,57.35,5734.7,PASS
3mm,EXTRALARGE,tasks,16,4005.807,4077.895,4073.228,40.160,10.78,14.42,90.1,PASS
