benchmark,dataset,strategy,threads,is_parallel,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency_pct,verified,max_error,allocations
heat3d,LARGE,sequential,8,false,3115.4075,3131.8735,3135.1980,18.1487,6.86,1.00,,PASS,0.00e+00,0
heat3d,LARGE,threads_static,8,true,2146.1537,2169.8702,2164.6937,15.7100,9.95,1.45,18.15,PASS,0.00e+00,0
heat3d,LARGE,threads_dynamic,8,true,1974.1362,2017.2169,2010.3694,25.6967,10.82,1.58,19.73,PASS,0.00e+00,0
heat3d,LARGE,tiled,8,true,2118.7731,2128.1177,2133.0917,15.3089,10.08,1.47,18.38,PASS,0.00e+00,0
heat3d,LARGE,simd,8,false,2193.3504,2202.8429,2220.0598,46.6929,9.74,1.42,,PASS,0.00e+00,0
heat3d,LARGE,collapsed,8,true,3317.5304,3354.5514,3557.2348,477.8275,6.44,0.94,11.74,PASS,0.00e+00,0
heat3d,LARGE,red_black,8,true,2839.1107,2884.2100,2884.7111,42.8353,7.52,1.10,13.72,PASS,0.00e+00,0
