benchmark,dataset,strategy,threads,is_parallel,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency_pct,verified,max_error,allocations
2mm,EXTRALARGE,sequential,1,false,38163.7122,38446.9907,38396.3383,131.7926,0.69,1.00,,PASS,0.00e+00,0
2mm,EXTRALARGE,threads_static,1,true,38187.4423,38531.4246,38452.9837,153.3206,0.69,1.00,99.94,PASS,0.00e+00,0
2mm,EXTRALARGE,threads_dynamic,1,true,38462.3215,38511.3370,38504.8868,39.7902,0.69,0.99,99.22,PASS,0.00e+00,0
2mm,EXTRALARGE,tiled,1,true,9364.9785,9373.7730,9372.0500,3.9916,2.83,4.08,407.52,PASS,6.69e-15,0
2mm,EXTRALARGE,simd,1,false,33809.6215,33863.5153,33849.5212,25.8811,0.78,1.13,,PASS,7.43e-15,0
2mm,EXTRALARGE,tasks,1,true,38442.7730,38479.0870,38481.8406,27.9956,0.69,0.99,99.27,PASS,0.00e+00,0
2mm,EXTRALARGE,collapsed,1,true,38443.0241,38468.3840,38468.9466,19.9431,0.69,0.99,99.27,PASS,0.00e+00,0
