benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
cholesky,EXTRALARGE,sequential,16,43979.588,44109.574,44063.543,71.560,0.49,1.00,100.0,PASS
cholesky,EXTRALARGE,simd,16,43847.608,43860.059,43877.009,31.241,0.49,1.00,100.3,PASS
cholesky,EXTRALARGE,threads,16,3223.190,3276.123,3374.871,162.354,6.62,13.64,85.3,PASS
cholesky,EXTRALARGE,blas,16,541.866,541.948,541.995,0.143,39.37,81.16,8116.3,PASS
cholesky,EXTRALARGE,tiled,16,57102.218,57198.627,57186.213,69.907,0.37,0.77,77.0,PASS
